"","OPE_ID","School_Name","School_Type","State","Total_Borrowers_Evaluated","Nonpayment_Rate"
"349","036193","University of Greenwich","FOREIGN","FC",200,0.07
"350","010816","Kingston University","FOREIGN","FC",200,0.07
"351","031025","American University Of Rome","FOREIGN","FC",300,0.07
"352","002710","Cooper Union for the Advancement of Science & Art (The)","PRIVATE NONPROFIT","NY",400,0.07
"353","001173","Pomona College","PRIVATE NONPROFIT","CA",400,0.07
"354","006445","Bill and Sandra Pomeroy College of Nursing at Crouse Hospital","PRIVATE NONPROFIT","NY",500,0.07
"355","006240","Saint Francis Medical Center College of Nursing","PRIVATE NONPROFIT","IL",500,0.07
"356","035103","Erikson Institute","PRIVATE NONPROFIT","IL",500,0.07
"357","010043","Bon Secours Memorial College of Nursing","PRIVATE NONPROFIT","VA",500,0.07
"358","002194","New England Conservatory of Music","PRIVATE NONPROFIT","MA",600,0.07
"359","006438","Mount Sinai Phillips School of Nursing","PRIVATE NONPROFIT","NY",600,0.07
"360","031065","Sentara College of Health Sciences","PRIVATE NONPROFIT","VA",600,0.07
"361","039003","Medical University of the Americas","FOREIGN","FC",700,0.07
"362","006467","Saint Joseph's College of Nursing at St Joseph's Hospital Health Cente","PRIVATE NONPROFIT","NY",700,0.07
"363","025784","Maryland University of Integrative Health","PRIVATE NONPROFIT","MD",1100,0.07
