state,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ma,2023,90000,101000,116000,105000,109000,96000,83000,74000,76000,100000,95000,95000
ma,2024,97000,104000,85000,86000,114000,106000,100000,98000,84000,91000,95000,95000
ma,2025,97000,122000,110000,101000,108000,111000,100000,102000,,,,
az,2018,112000,124000,121000,126000,108000,126000,124000,128000,107000,125000,128000,122000
az,2019,119000,121000,108000,125000,136000,106000,120000,123000,141000,120000,117000,98000
az,2020,114000,122000,265000,209000,82000,97000,115000,92000,118000,97000,118000,122000
az,2021,97000,128000,148000,133000,127000,109000,112000,115000,121000,114000,140000,142000
az,2022,152000,131000,168000,120000,144000,160000,142000,141000,136000,144000,139000,130000
az,2023,117000,136000,149000,141000,112000,142000,127000,134000,128000,131000,130000,126000
az,2024,117000,119000,122000,136000,124000,109000,122000,101000,105000,122000,100000,101000
az,2025,126000,124000,121000,122000,133000,126000,115000,116000,,,,
wi,2018,88000,96000,99000,104000,99000,99000,105000,107000,113000,112000,133000,90000
wi,2019,99000,107000,101000,109000,111000,105000,105000,100000,96000,97000,113000,105000
wi,2020,129000,109000,307000,211000,81000,86000,103000,83000,87000,91000,105000,87000
wi,2021,93000,100000,100000,97000,99000,102000,90000,101000,99000,108000,117000,125000
wi,2022,108000,115000,105000,117000,99000,112000,108000,106000,109000,105000,99000,119000
wi,2023,101000,100000,101000,119000,108000,108000,108000,106000,108000,94000,108000,88000
wi,2024,104000,103000,100000,96000,99000,88000,84000,94000,91000,87000,81000,93000
wi,2025,100000,93000,95000,93000,96000,100000,90000,98000,,,,
co,2018,113000,133000,117000,126000,121000,132000,125000,114000,105000,118000,105000,89000
co,2019,109000,106000,108000,119000,107000,102000,110000,125000,122000,128000,121000,119000
co,2020,121000,120000,339000,276000,81000,132000,111000,93000,109000,93000,154000,151000
co,2021,101000,87000,118000,91000,108000,120000,149000,166000,141000,134000,124000,137000
co,2022,133000,141000,130000,115000,128000,106000,114000,119000,125000,134000,159000,137000
co,2023,118000,113000,119000,116000,97000,89000,98000,91000,86000,106000,106000,102000
co,2024,117000,101000,101000,141000,110000,121000,155000,108000,94000,136000,115000,82000
co,2025,117000,99000,102000,89000,118000,107000,107000,102000,,,,
sd,2018,15000,17000,17000,20000,17000,17000,18000,17000,17000,17000,23000,16000
sd,2019,17000,17000,15000,18000,17000,15000,17000,16000,16000,20000,17000,17000
sd,2020,17000,19000,50000,25000,11000,13000,14000,15000,15000,17000,18000,16000
sd,2021,16000,16000,18000,16000,15000,18000,15000,16000,16000,18000,18000,18000
sd,2022,18000,17000,17000,19000,19000,16000,16000,15000,18000,18000,19000,21000
sd,2023,18000,18000,18000,19000,18000,18000,19000,18000,18000,15000,20000,15000
sd,2024,17000,17000,16000,18000,18000,15000,17000,17000,15000,14000,15000,18000
sd,2025,17000,20000,19000,18000,17000,19000,17000,17000,,,,
va,2018,26000,31000,33000,30000,32000,32000,31000,32000,32000,28000,36000,34000
va,2019,34000,34000,32000,32000,29000,30000,31000,32000,34000,35000,31000,31000
va,2020,30000,31000,63000,63000,25000,26000,29000,29000,31000,31000,32000,30000
va,2021,30000,29000,30000,31000,30000,30000,29000,32000,37000,32000,33000,35000
va,2022,33000,33000,33000,36000,32000,38000,35000,37000,33000,32000,34000,32000
va,2023,34000,33000,32000,33000,34000,31000,31000,34000,31000,29000,28000,30000
va,2024,32000,28000,31000,33000,28000,29000,30000,24000,29000,30000,27000,28000
va,2025,31000,32000,29000,28000,26000,25000,24000,24000,,,,
fl,2018,277000,282000,310000,308000,281000,299000,288000,312000,351000,310000,381000,353000
fl,2019,321000,334000,319000,308000,345000,356000,353000,329000,371000,318000,351000,345000
fl,2020,337000,342000,1085000,546000,242000,301000,344000,314000,332000,395000,321000,329000
fl,2021,393000,329000,338000,318000,302000,333000,369000,384000,395000,395000,424000,429000
fl,2022,390000,380000,498000,407000,466000,417000,406000,464000,366000,374000,375000,396000
fl,2023,403000,399000,397000,401000,417000,425000,359000,415000,391000,404000,391000,355000
fl,2024,385000,419000,385000,397000,349000,340000,409000,354000,378000,378000,336000,318000
fl,2025,348000,369000,362000,417000,348000,319000,335000,322000,,,,
ga,2018,193000,204000,211000,155000,175000,169000,177000,171000,160000,201000,196000,192000
ga,2019,171000,178000,183000,192000,170000,165000,208000,182000,175000,189000,183000,212000
ga,2020,198000,214000,377000,343000,164000,159000,198000,222000,194000,183000,202000,227000
ga,2021,204000,215000,209000,257000,226000,264000,210000,253000,256000,219000,287000,273000
ga,2022,269000,262000,247000,266000,278000,318000,263000,272000,244000,235000,238000,211000
ga,2023,245000,245000,231000,200000,245000,175000,192000,191000,189000,189000,179000,188000
ga,2024,173000,157000,158000,154000,166000,161000,185000,182000,180000,179000,175000,172000
ga,2025,174000,178000,165000,164000,167000,131000,147000,151000,,,,
mo,2018,94000,100000,106000,96000,101000,101000,102000,109000,100000,115000,113000,93000
mo,2019,113000,86000,92000,111000,115000,117000,108000,102000,122000,106000,129000,101000
mo,2020,122000,130000,348000,201000,98000,99000,94000,100000,118000,103000,117000,99000
mo,2021,102000,114000,111000,120000,102000,116000,108000,110000,110000,113000,113000,126000
mo,2022,103000,104000,101000,128000,110000,121000,123000,110000,101000,109000,101000,127000
mo,2023,108000,89000,108000,98000,100000,102000,82000,106000,116000,92000,97000,101000
mo,2024,92000,101000,110000,109000,104000,91000,119000,102000,95000,98000,95000,87000
mo,2025,101000,92000,94000,85000,95000,100000,90000,97000,,,,
ms,2018,44000,52000,42000,46000,47000,49000,51000,47000,49000,51000,52000,49000
ms,2019,46000,51000,57000,51000,47000,54000,49000,46000,49000,44000,45000,52000
ms,2020,48000,49000,108000,75000,41000,50000,43000,55000,50000,48000,55000,58000
ms,2021,53000,59000,55000,66000,54000,54000,49000,54000,55000,59000,62000,59000
ms,2022,60000,67000,60000,56000,52000,56000,58000,65000,54000,54000,55000,52000
ms,2023,50000,53000,51000,54000,63000,50000,57000,50000,52000,50000,45000,44000
ms,2024,45000,44000,40000,43000,49000,42000,44000,38000,45000,52000,44000,44000
ms,2025,40000,43000,38000,45000,39000,46000,36000,38000,,,,
al,2018,91000,83000,79000,73000,84000,75000,78000,69000,75000,70000,77000,71000
al,2019,77000,82000,75000,86000,72000,79000,72000,85000,89000,68000,76000,87000
al,2020,78000,76000,127000,123000,63000,80000,70000,72000,87000,84000,79000,77000
al,2021,77000,80000,85000,94000,87000,92000,95000,91000,107000,95000,99000,101000
al,2022,98000,87000,97000,99000,93000,98000,84000,115000,92000,95000,96000,96000
al,2023,97000,95000,88000,74000,96000,81000,89000,90000,88000,87000,82000,72000
al,2024,79000,77000,85000,78000,78000,69000,73000,67000,75000,79000,73000,77000
al,2025,74000,80000,70000,69000,77000,65000,65000,67000,,,,
me,2018,26000,21000,24000,24000,23000,33000,34000,25000,23000,22000,23000,23000
me,2019,21000,22000,26000,21000,23000,27000,21000,21000,23000,28000,25000,21000
me,2020,23000,24000,65000,46000,20000,22000,22000,19000,17000,21000,21000,22000
me,2021,25000,22000,23000,22000,24000,24000,25000,25000,24000,24000,30000,25000
me,2022,25000,24000,22000,23000,23000,29000,24000,25000,24000,23000,22000,25000
me,2023,26000,25000,27000,27000,26000,22000,22000,18000,23000,35000,26000,24000
me,2024,23000,24000,24000,23000,24000,22000,23000,24000,22000,14000,13000,20000
me,2025,26000,25000,25000,24000,25000,26000,24000,25000,,,,
nh,2018,28000,26000,33000,26000,24000,25000,28000,22000,23000,20000,23000,25000
nh,2019,22000,22000,24000,24000,26000,28000,22000,24000,24000,25000,25000,24000
nh,2020,23000,26000,75000,56000,19000,21000,19000,17000,16000,26000,23000,22000
nh,2021,22000,24000,24000,28000,22000,26000,27000,30000,30000,27000,35000,29000
nh,2022,29000,32000,28000,27000,29000,26000,28000,34000,30000,34000,25000,27000
nh,2023,35000,25000,28000,24000,26000,27000,25000,21000,23000,29000,25000,24000
nh,2024,25000,27000,25000,27000,27000,24000,28000,22000,23000,20000,26000,22000
nh,2025,25000,28000,26000,25000,23000,25000,28000,29000,,,,
pa,2018,175000,203000,264000,180000,200000,216000,215000,187000,214000,184000,188000,196000
pa,2019,163000,167000,199000,200000,250000,201000,180000,193000,184000,213000,209000,218000
pa,2020,230000,193000,708000,494000,180000,226000,167000,145000,142000,142000,178000,212000
pa,2021,178000,200000,197000,184000,172000,176000,178000,179000,199000,222000,206000,178000
pa,2022,208000,188000,183000,183000,204000,173000,212000,211000,167000,167000,166000,195000
pa,2023,193000,170000,192000,164000,176000,218000,172000,169000,161000,205000,193000,191000
pa,2024,204000,202000,214000,226000,202000,166000,235000,208000,191000,165000,162000,138000
pa,2025,163000,167000,138000,162000,185000,157000,163000,141000,,,,
hi,2018,21000,21000,21000,23000,22000,21000,20000,21000,20000,23000,25000,22000
hi,2019,29000,25000,23000,24000,23000,24000,27000,22000,24000,26000,24000,27000
hi,2020,19000,23000,71000,77000,25000,22000,27000,16000,34000,18000,18000,15000
hi,2021,19000,18000,23000,22000,21000,20000,23000,21000,25000,22000,21000,23000
hi,2022,23000,22000,22000,18000,22000,20000,19000,22000,22000,19000,22000,23000
hi,2023,20000,20000,23000,19000,19000,18000,19000,24000,27000,16000,20000,19000
hi,2024,19000,21000,21000,20000,22000,21000,19000,18000,17000,26000,23000,24000
hi,2025,21000,22000,21000,20000,21000,23000,20000,19000,,,,
