state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
New Mexico,NM,2022,False,Undergraduate total,Undergraduate,47076,19389,27687,4393,1495,2898,1086,439,647,1505,906,599,23168,8943,14225,100,60,40,11986,5331,6655,1453,613,840,1887,877,1010,1498,725,773,66,26,92.0,0
New Mexico,NM,2022,True,All students total,All students total,79643,29144,50499,8316,2612,5704,1339,558,781,2241,952,1289,38816,13772,25044,175,67,108,21522,8402,13120,2070,814,1256,3428,1344,2084,1736,623,1113,69,0,69.0,0
New Mexico,NM,2023,False,Undergraduate total,Undergraduate,48297,19938,28359,4454,1561,2893,1128,472,656,1495,874,621,24383,9464,14919,99,51,48,12243,5455,6788,1528,652,876,1895,868,1027,1072,541,531,73,228,00.0019547.3.3320,42417
New Mexico,NM,2023,True,All students total,All students total,83104,31032,52072,8584,2804,5780,1368,578,790,2375,1051,1324,41607,14876,26731,215,98,117,21986,8773,13213,2216,850,1366,3841,1624,2217,912,378,534,393,55,260.6700.012132306160001400.020000000,50083
New Mexico,NM,2024,False,Undergraduate total,Undergraduate,50489,20885,29604,4754,1749,3005,1163,523,640,1546,854,692,25451,9816,15635,97,50,47,13007,5763,7244,1645,718,927,1751,860,891,1075,552,523,86,281,00.0024958..03220,47077
New Mexico,NM,2024,True,All students total,All students total,82069,31421,50648,8499,2923,5576,1368,585,783,2235,974,1261,41452,15208,26244,204,107,97,21373,8655,12718,2356,963,1393,3528,1541,1987,1054,465,589,457,211,55029372..00131521021370001800.0103002000,74145
New York,NY,2020,False,Undergraduate total,Undergraduate,850530,373445,477085,2668,1070,1598,90281,41994,48287,111952,41582,70370,151758,60872,90886,1342,587,755,370921,173087,197834,24859,10235,14624,39009,17442,21567,57740,26576,31164,0,0,0,0
New York,NY,2020,True,All students total,All students total,427234,182068,245166,1939,843,1096,31752,14665,17087,71043,27583,43460,97953,39921,58032,699,322,377,182442,79993,102449,10216,4212,6004,22435,10685,11750,8755,3844,4911,0,0,0,0
New York,NY,2021,False,Undergraduate total,Undergraduate,817265,353883,463382,2518,956,1562,91382,42082,49300,107058,38790,68268,148264,58035,90229,1105,453,652,352797,163298,189499,25326,10349,14977,37390,16274,21116,51425,23646,27779,0,0,0,0
New York,NY,2021,True,All students total,All students total,394544,157836,236708,1778,726,1052,29907,13100,16807,65157,23076,42081,90503,34557,55946,621,240,381,166436,68971,97465,10093,3803,6290,23130,10448,12682,6919,2915,4004,0,0,0,0
New York,NY,2022,False,Undergraduate total,Undergraduate,797281,346560,450721,2354,954,1400,93216,42985,50231,101834,36852,64982,146698,57923,88775,1067,444,623,338167,157101,181066,25945,10512,15433,34812,15366,19446,53188,24423,28765,3501,308,3809.0,0
New York,NY,2022,True,All students total,All students total,365869,149883,215986,1609,653,956,28645,12908,15737,60656,22154,38502,84335,33021,51314,581,220,361,153599,65229,88370,9748,3782,5966,20431,9353,11078,6265,2563,3702,2944,80,3024.0,0
