Nonpayment Rates by Institution,,,,,
,,,,,
OPE ID,School Name,School Type,State,Total Borrowers Evaluated,Nonpayment Rate
003253,Dickinson College,"PRIVATE, NONPROFIT",PA,1500,5%
002885,Albany College of Pharmacy and Health Sciences,"PRIVATE, NONPROFIT",NY,1500,5%
001830,Rose-Hulman Institute of Technology,"PRIVATE, NONPROFIT",IN,1600,5%
006389,Goldfarb School of Nursing at Barnes-Jewish College,"PRIVATE, NONPROFIT",MO,1600,5%
002341,College of Saint Benedict,"PRIVATE, NONPROFIT",MN,1700,5%
002262,Kettering University,"PRIVATE, NONPROFIT",MI,1700,5%
002192,Mount Holyoke College,"PRIVATE, NONPROFIT",MA,1800,5%
012328,Northwestern Health Sciences University,"PRIVATE, NONPROFIT",MN,1900,5%
012154,California Institute of Integral Studies,"PRIVATE, NONPROFIT",CA,2100,5%
001781,Wheaton College,"PRIVATE, NONPROFIT",IL,2200,5%
024600,University of Puerto Rico - Medical Science Campus,PUBLIC,PR,2500,5%
002273,Hope College,"PRIVATE, NONPROFIT",MI,2600,5%
002133,Brandeis University,"PRIVATE, NONPROFIT",MA,2900,5%
042401,American University of Antigua College of Medicine,FOREIGN,FC,3100,5%
003289,Lehigh University,"PRIVATE, NONPROFIT",PA,3600,5%
030070,Frontier Nursing University,"PRIVATE, NONPROFIT",KY,3900,5%
002639,Stevens Institute of Technology,"PRIVATE, NONPROFIT",NJ,4100,5%
001109,University of Arkansas for Medical Sciences,PUBLIC,AR,4200,5%
001691,Illinois Institute of Technology,"PRIVATE, NONPROFIT",IL,4300,5%
002343,College of St. Scholastica,"PRIVATE, NONPROFIT",MN,4700,5%
001326,Santa Clara University,"PRIVATE, NONPROFIT",CA,4800,5%
003010,Antioch University,"PRIVATE, NONPROFIT",OH,4900,5%
011117,Alliant International University,PROPRIETARY,CA,6500,5%
003778,Gonzaga University,"PRIVATE, NONPROFIT",WA,6600,5%
002894,University of Rochester,"PRIVATE, NONPROFIT",NY,6700,5%
010674,Texas Tech University Health Sciences Center,PUBLIC,TX,7900,5%
001329,University of the Pacific,"PRIVATE, NONPROFIT",CA,8900,5%
003919,University of Wisconsin - LaCrosse,PUBLIC,WI,9200,5%
003670,Brigham Young University,"PRIVATE, NONPROFIT",UT,9500,5%
011649,Loyola Marymount University,"PRIVATE, NONPROFIT",CA,9800,5%
003502,Lincoln Memorial University,"PRIVATE, NONPROFIT",TN,9900,5%
003863,Marquette University,"PRIVATE, NONPROFIT",WI,11700,5%
001143,California Polytechnic State University,PUBLIC,CA,12300,5%
001371,University of Denver,"PRIVATE, NONPROFIT",CO,14700,5%
002199,Northeastern University,"PRIVATE, NONPROFIT",MA,18500,5%
003675,University of Utah,PUBLIC,UT,19900,5%
001314,"University of California, Irvine",PUBLIC,CA,22700,5%
001535,University of Florida,PUBLIC,FL,30000,5%
003969,University of Minnesota - Twin Cities,PUBLIC,MN,35300,5%
042571,Universiteit Maastricht,FOREIGN,FC,200,6%
010157,Cardiff University,FOREIGN,FC,200,6%
034184,Edinburgh Napier University,FOREIGN,FC,200,6%
001288,Claremont School of Theology,"PRIVATE, NONPROFIT",CA,200,6%
042395,Virginia University of Integrative Medicine,"PRIVATE, NONPROFIT",VA,200,6%
036175,Phoenix Institute of Herbal Medicine & Acupuncture,PROPRIETARY,AZ,200,6%
025973,South Baylo University,"PRIVATE, NONPROFIT",CA,200,6%
004707,Covenant Theological Seminary,"PRIVATE, NONPROFIT",MO,200,6%
009442,University of Exeter,FOREIGN,FC,200,6%
033333,Medical University of Lublin,FOREIGN,FC,200,6%
002626,Princeton Theological Seminary,"PRIVATE, NONPROFIT",NJ,200,6%
030980,St. John's College,"PRIVATE, NONPROFIT",IL,200,6%
009084,"University of London, Birkbeck",FOREIGN,FC,300,6%
008687,University of Essex,FOREIGN,FC,300,6%
022676,Sofia University,PROPRIETARY,CA,300,6%
025000,San Joaquin College of Law,"PRIVATE, NONPROFIT",CA,300,6%
040764,Gnomon,PROPRIETARY,CA,300,6%
021951,University of Westminster,FOREIGN,FC,300,6%
006461,Saint Elizabeth Medical Center,"PRIVATE, NONPROFIT",NY,400,6%
023580,Thomas Aquinas College,"PRIVATE, NONPROFIT",CA,400,6%
025554,University of Texas M.D. Anderson Cancer Center,PUBLIC,TX,400,6%
003274,Haverford College,"PRIVATE, NONPROFIT",PA,400,6%
003562,Dallas Theological Seminary,"PRIVATE, NONPROFIT",TX,400,6%
001352,Denver Seminary,"PRIVATE, NONPROFIT",CO,400,6%
023518,Universidad Iberoamericana (UNIBE),FOREIGN,FC,400,6%
006392,Research Medical Center,PROPRIETARY,MO,500,6%
042501,Santa Barbara and Ventura Colleges of Law (The),"PRIVATE, NONPROFIT",CA,500,6%
002361,Martin Luther College,"PRIVATE, NONPROFIT",MN,600,6%
002036,Bates College,"PRIVATE, NONPROFIT",ME,700,6%
008369,University of British Columbia,FOREIGN,FC,700,6%
002918,Davidson College,"PRIVATE, NONPROFIT",NC,700,6%
010854,Thomas Jefferson School of Law,"PRIVATE, NONPROFIT",CA,800,6%
006399,Bryan College of Health Sciences,"PRIVATE, NONPROFIT",NE,900,6%
037243,DigiPen Institute of Technology,PROPRIETARY,WA,1300,6%
001379,Connecticut College,"PRIVATE, NONPROFIT",CT,1300,6%
002121,Babson College,"PRIVATE, NONPROFIT",MA,1600,6%
021175,Naropa University,"PRIVATE, NONPROFIT",CO,1600,6%
001883,Northwestern College,"PRIVATE, NONPROFIT",IA,1700,6%
003434,Furman University,"PRIVATE, NONPROFIT",SC,1700,6%
004071,Walsh College of Accountancy & Business Administration,"PRIVATE, NONPROFIT",MI,1800,6%
006404,Nebraska Methodist College of Nursing & Allied Health,"PRIVATE, NONPROFIT",NE,1800,6%
001836,Saint Mary's College,"PRIVATE, NONPROFIT",IN,2000,6%
003458,Augustana University,"PRIVATE, NONPROFIT",SD,2000,6%
002851,SUNY College of Environment Science & Forestry,PUBLIC,NY,2100,6%
002353,Gustavus Adolphus College,"PRIVATE, NONPROFIT",MN,2200,6%
002382,Saint Olaf College,"PRIVATE, NONPROFIT",MN,2200,6%
002141,College of the Holy Cross,"PRIVATE, NONPROFIT",MA,2300,6%
002587,Saint Anselm College,"PRIVATE, NONPROFIT",NH,2300,6%
002241,Calvin University,"PRIVATE, NONPROFIT",MI,2400,6%
003868,Milwaukee School of Engineering,"PRIVATE, NONPROFIT",WI,3000,6%
004703,Logan University,"PRIVATE, NONPROFIT",MO,3100,6%
003911,Viterbo University,"PRIVATE, NONPROFIT",WI,3200,6%
002124,Bentley University,"PRIVATE, NONPROFIT",MA,3400,6%
003244,Chatham University,"PRIVATE, NONPROFIT",PA,3500,6%
003298,Messiah University,"PRIVATE, NONPROFIT",PA,3600,6%
003025,Cedarville University,"PRIVATE, NONPROFIT",OH,4000,6%
003224,University of Portland,"PRIVATE, NONPROFIT",OR,4000,6%
002699,Clarkson University,"PRIVATE, NONPROFIT",NY,4000,6%
001243,Mount Saint Mary's University,"PRIVATE, NONPROFIT",CA,5000,6%
001788,Butler University,"PRIVATE, NONPROFIT",IN,5000,6%
002292,Michigan Technological University,PUBLIC,MI,5300,6%
002821,St. John Fisher University,"PRIVATE, NONPROFIT",NY,5400,6%
002903,Yeshiva University,"PRIVATE, NONPROFIT",NY,5700,6%
001036,Samford University,"PRIVATE, NONPROFIT",AL,5700,6%
002927,Elon University,"PRIVATE, NONPROFIT",NC,5800,6%
002642,College of New Jersey (The),PUBLIC,NJ,6300,6%
003790,Seattle University,"PRIVATE, NONPROFIT",WA,7700,6%
002345,University of Saint Thomas,"PRIVATE, NONPROFIT",MN,8400,6%
